,ds,y
440,1979-09-01,339.44975
441,1979-10-01,343.2513
442,1979-11-01,346.38941
443,1979-12-01,348.58911
444,1980-01-01,350.4757
445,1980-02-01,353.05623
446,1980-03-01,353.04211
447,1980-04-01,351.28721
448,1980-05-01,348.64454
449,1980-06-01,346.69696
450,1980-07-01,347.07137
451,1980-08-01,347.54601
452,1980-09-01,348.16314
453,1980-10-01,349.59772
454,1980-11-01,350.00449
455,1980-12-01,351.92005
456,1981-01-01,353.02932
457,1981-02-01,354.74499
458,1981-03-01,357.12713
459,1981-04-01,359.13287
460,1981-05-01,361.2328
461,1981-06-01,362.74346
462,1981-07-01,364.67773
463,1981-08-01,365.15446
464,1981-09-01,369.59574
465,1981-10-01,370.45671
466,1981-11-01,371.75991
467,1981-12-01,371.30144
468,1982-01-01,375.16736
469,1982-02-01,376.37707
470,1982-03-01,376.88541
471,1982-04-01,378.63428
472,1982-05-01,380.4388
473,1982-06-01,381.98562
474,1982-07-01,382.4471
475,1982-08-01,382.86264
476,1982-09-01,384.35525
477,1982-10-01,384.96719
478,1982-11-01,386.76665
479,1982-12-01,389.84874
480,1983-01-01,391.82773
481,1983-02-01,392.36096
482,1983-03-01,395.58305
483,1983-04-01,398.42671
484,1983-05-01,399.95372
485,1983-06-01,404.8326
486,1983-07-01,409.47521
487,1983-08-01,413.99357
488,1983-09-01,417.82094
489,1983-10-01,423.773
490,1983-11-01,429.97738
491,1983-12-01,437.06886
492,1984-01-01,441.99113
493,1984-02-01,451.90703
494,1984-03-01,456.55016
495,1984-04-01,462.14122
496,1984-05-01,472.44428
497,1984-06-01,480.99454
498,1984-07-01,487.1488
499,1984-08-01,494.11763
500,1984-09-01,498.4964
501,1984-10-01,504.65866
502,1984-11-01,510.15408
503,1984-12-01,517.27898
504,1985-01-01,523.97936
505,1985-02-01,532.44843
506,1985-03-01,541.75718
507,1985-04-01,549.34871
508,1985-05-01,555.84205
509,1985-06-01,561.2066
510,1985-07-01,567.653
511,1985-08-01,573.29931
512,1985-09-01,582.14837
513,1985-10-01,588.30745
514,1985-11-01,594.47775
515,1985-12-01,599.71123
516,1986-01-01,605.70302
517,1986-02-01,610.67829
518,1986-03-01,613.37662
519,1986-04-01,619.65773
520,1986-05-01,625.81996
521,1986-06-01,630.05583
522,1986-07-01,635.15095
523,1986-08-01,638.90439
524,1986-09-01,646.02316
525,1986-10-01,653.78729
526,1986-11-01,653.7673
527,1986-12-01,654.75024
528,1987-01-01,653.26748
529,1987-02-01,652.5323
530,1987-03-01,651.19767
531,1987-04-01,656.40142
532,1987-05-01,658.47003
533,1987-06-01,662.8975
534,1987-07-01,667.65979
535,1987-08-01,672.22514
536,1987-09-01,676.21116
537,1987-10-01,681.18446
538,1987-11-01,684.71004
539,1987-12-01,686.31877
540,1988-01-01,692.27095
541,1988-02-01,696.38729
542,1988-03-01,700.7012
543,1988-04-01,705.86805
544,1988-05-01,710.04585
545,1988-06-01,713.18919
546,1988-07-01,716.11302
547,1988-08-01,721.53558
548,1988-09-01,722.94769
549,1988-10-01,726.10533
550,1988-11-01,729.66007
551,1988-12-01,731.91776
552,1989-01-01,749.02308
553,1989-02-01,752.893
554,1989-03-01,760.01834
555,1989-04-01,764.71245
556,1989-05-01,769.2757
557,1989-06-01,773.22711
558,1989-07-01,776.26008
559,1989-08-01,778.8765
560,1989-09-01,781.82209
561,1989-10-01,785.54565
562,1989-11-01,790.29725
563,1989-12-01,794.61218
564,1990-01-01,797.71486
565,1990-02-01,798.77319
566,1990-03-01,798.74809
567,1990-04-01,798.74701
568,1990-05-01,799.75103
569,1990-06-01,802.89274
570,1990-07-01,806.8875
571,1990-08-01,808.75857
572,1990-09-01,810.43623
573,1990-10-01,812.65511
574,1990-11-01,813.66266
575,1990-12-01,808.23057
576,1991-01-01,806.6005
577,1991-02-01,807.03043
578,1991-03-01,808.35183
579,1991-04-01,807.81895
580,1991-05-01,807.83216
581,1991-06-01,805.99466
582,1991-07-01,804.02756
583,1991-08-01,802.02192
584,1991-09-01,800.88934
585,1991-10-01,798.61698
586,1991-11-01,798.27498
587,1991-12-01,798.02897
588,1992-01-01,798.98271
589,1992-02-01,799.64038
590,1992-03-01,799.44211
591,1992-04-01,797.65814
592,1992-05-01,797.6679
593,1992-06-01,797.27631
594,1992-07-01,798.06816
595,1992-08-01,799.8238
596,1992-09-01,800.1989
597,1992-10-01,799.55599
598,1992-11-01,802.69798
599,1992-12-01,806.11869
600,1993-01-01,809.32543
601,1993-02-01,814.05892
602,1993-03-01,813.65629
603,1993-04-01,819.75694
604,1993-05-01,819.75905
605,1993-06-01,823.81181
606,1993-07-01,829.51873
